,link,Last LPSN update,Domain,Phylum,Class,Order,Family,Genus,Species,Ref 1,Ref 2,Ref 3,Ref 4,Ref 5,Ref 6,Ref 7,Ref 8,Ref 9,Ref 10
14117,https://bacdive.dsmz.de/strain/18213,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14118,https://bacdive.dsmz.de/strain/18214,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14119,https://bacdive.dsmz.de/strain/18215,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14120,https://bacdive.dsmz.de/strain/18216,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14121,https://bacdive.dsmz.de/strain/18217,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14122,https://bacdive.dsmz.de/strain/18218,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14123,https://bacdive.dsmz.de/strain/18219,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14124,https://bacdive.dsmz.de/strain/18220,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14125,https://bacdive.dsmz.de/strain/18221,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14126,https://bacdive.dsmz.de/strain/18222,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14127,https://bacdive.dsmz.de/strain/18223,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14128,https://bacdive.dsmz.de/strain/18224,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14129,https://bacdive.dsmz.de/strain/18225,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14130,https://bacdive.dsmz.de/strain/18226,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14131,https://bacdive.dsmz.de/strain/18227,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14132,https://bacdive.dsmz.de/strain/18228,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14133,https://bacdive.dsmz.de/strain/18229,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14134,https://bacdive.dsmz.de/strain/18230,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14135,https://bacdive.dsmz.de/strain/18231,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14136,https://bacdive.dsmz.de/strain/18232,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14137,https://bacdive.dsmz.de/strain/18326,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14138,https://bacdive.dsmz.de/strain/18327,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14139,https://bacdive.dsmz.de/strain/18352,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14140,https://bacdive.dsmz.de/strain/18354,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14141,https://bacdive.dsmz.de/strain/18355,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14142,https://bacdive.dsmz.de/strain/18701,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14143,https://bacdive.dsmz.de/strain/18705,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14144,https://bacdive.dsmz.de/strain/18706,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14145,https://bacdive.dsmz.de/strain/18716,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14146,https://bacdive.dsmz.de/strain/18717,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14147,https://bacdive.dsmz.de/strain/18718,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14148,https://bacdive.dsmz.de/strain/18724,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14149,https://bacdive.dsmz.de/strain/18733,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14150,https://bacdive.dsmz.de/strain/18734,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14151,https://bacdive.dsmz.de/strain/18836,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14152,https://bacdive.dsmz.de/strain/18838,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14153,https://bacdive.dsmz.de/strain/18856,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14154,https://bacdive.dsmz.de/strain/18892,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14155,https://bacdive.dsmz.de/strain/18912,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14156,https://bacdive.dsmz.de/strain/18921,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14157,https://bacdive.dsmz.de/strain/18922,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14158,https://bacdive.dsmz.de/strain/18923,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14159,https://bacdive.dsmz.de/strain/18925,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14160,https://bacdive.dsmz.de/strain/18927,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14161,https://bacdive.dsmz.de/strain/18965,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14162,https://bacdive.dsmz.de/strain/18968,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14163,https://bacdive.dsmz.de/strain/18969,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14164,https://bacdive.dsmz.de/strain/18970,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14165,https://bacdive.dsmz.de/strain/18979,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14166,https://bacdive.dsmz.de/strain/18982,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14167,https://bacdive.dsmz.de/strain/18983,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14168,https://bacdive.dsmz.de/strain/18984,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14169,https://bacdive.dsmz.de/strain/18985,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14170,https://bacdive.dsmz.de/strain/18989,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14171,https://bacdive.dsmz.de/strain/18990,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14172,https://bacdive.dsmz.de/strain/18991,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14173,https://bacdive.dsmz.de/strain/18992,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14174,https://bacdive.dsmz.de/strain/18993,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14175,https://bacdive.dsmz.de/strain/18995,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14176,https://bacdive.dsmz.de/strain/19008,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14177,https://bacdive.dsmz.de/strain/19010,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14178,https://bacdive.dsmz.de/strain/19011,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14179,https://bacdive.dsmz.de/strain/19018,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14180,https://bacdive.dsmz.de/strain/19020,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14181,https://bacdive.dsmz.de/strain/19022,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14182,https://bacdive.dsmz.de/strain/19024,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14183,https://bacdive.dsmz.de/strain/19025,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14184,https://bacdive.dsmz.de/strain/19081,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14185,https://bacdive.dsmz.de/strain/19085,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14186,https://bacdive.dsmz.de/strain/19092,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14187,https://bacdive.dsmz.de/strain/19099,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14188,https://bacdive.dsmz.de/strain/19100,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14189,https://bacdive.dsmz.de/strain/19118,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14190,https://bacdive.dsmz.de/strain/19244,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14191,https://bacdive.dsmz.de/strain/19245,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14192,https://bacdive.dsmz.de/strain/19246,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14193,https://bacdive.dsmz.de/strain/19247,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14194,https://bacdive.dsmz.de/strain/19248,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14195,https://bacdive.dsmz.de/strain/19249,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14196,https://bacdive.dsmz.de/strain/19251,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14197,https://bacdive.dsmz.de/strain/19252,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14198,https://bacdive.dsmz.de/strain/19255,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14199,https://bacdive.dsmz.de/strain/19257,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14200,https://bacdive.dsmz.de/strain/19265,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14201,https://bacdive.dsmz.de/strain/19266,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14202,https://bacdive.dsmz.de/strain/19267,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14203,https://bacdive.dsmz.de/strain/19268,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14204,https://bacdive.dsmz.de/strain/19269,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14205,https://bacdive.dsmz.de/strain/19270,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14206,https://bacdive.dsmz.de/strain/19271,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14207,https://bacdive.dsmz.de/strain/19272,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14208,https://bacdive.dsmz.de/strain/19273,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14209,https://bacdive.dsmz.de/strain/19275,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14210,https://bacdive.dsmz.de/strain/19291,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14211,https://bacdive.dsmz.de/strain/19308,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14212,https://bacdive.dsmz.de/strain/19309,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14213,https://bacdive.dsmz.de/strain/19310,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14214,https://bacdive.dsmz.de/strain/19311,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14215,https://bacdive.dsmz.de/strain/19314,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14216,https://bacdive.dsmz.de/strain/19316,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14217,https://bacdive.dsmz.de/strain/19317,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14218,https://bacdive.dsmz.de/strain/19319,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14219,https://bacdive.dsmz.de/strain/19322,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14220,https://bacdive.dsmz.de/strain/19325,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14221,https://bacdive.dsmz.de/strain/19327,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
14222,https://bacdive.dsmz.de/strain/19330,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
